http://192.168.0.91/app/kibana#/dev_tools/console?_g=()
GET /_cat/indices?v

health status index                 uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   netflow-v9-2016.07.25 6Q5sx1DMRJqZTB7FaKoN3w   1   0       4105            0    543.4kb        543.4kb
green  open   packetbeat-2017.12.14 IOh_OMpKTmiRLAsqT7A06A   5   0     305704            0     76.1mb         76.1mb
green  open   snort-2018.07.11      tioYuQt0SOGOM-s4EzILiQ   1   0        747            0      2.3mb          2.3mb
green  open   bro-2017.12.19        udzFMcugRNiNz6jj-xLrEw   5   0     185116            0     61.9mb         61.9mb
green  open   netflow-v9-2017.10.29 pnp7JiYvRJOH5te8Vl6JiA   5   0      17633            0      4.1mb          4.1mb
green  open   netflow-v9-2017.10.28 dAiV3EBZT0qw8U534m7cBw   5   0      13369            0      3.1mb          3.1mb
green  open   snort-2017.10.16      g13arpTeQNy4OBb1RQOhgg   1   0       4260            0      5.9mb          5.9mb
green  open   snort-2018.06.19      G8_bXtIMSHaZK68xizkOLA   1   0       1001            0      2.4mb          2.4mb
green  open   netflow-v9-2017.12.15 3Lp-u9TpQbuAdYfL6DdmAQ   5   0      59484            0       11mb           11mb
green  open   netflow-v9-2016.08.23 iUtQloNSQdu_IE6YBWDstw   1   0       1651            0    271.3kb        271.3kb
green  open   netflow-v9-2018.02.06 gG4ynOZqQkSuj6OcMZHjCg   5   0      14168            0      3.5mb          3.5mb
green  open   netflow-v9-2017.07.02 FcfbiwDsREqN_FUsGfS76w   5   0       1157            0    621.8kb        621.8kb
green  open   winlogbeat-2018.02.04 pWJPiclbTJixR9yn-gIvcA   5   0        196            0    295.9kb        295.9kb
green  open   netflow-v9-2017.10.21 ID1jUWZERUapk9l8PhlUHQ   5   0      14634            0      3.5mb          3.5mb
yellow open   bro-2018.06.03        2ZGZQldeTrG4OprbjJ_zeg   5   1      66508            0     37.1mb         37.1mb
green  open   netflow-v9-2017.04.06 9i_Ox23ZTM-Ev-GjCzZk2A   1   0      16906            0      2.7mb          2.7mb
green  open   packetbeat-2017.12.08 waumgpFLTam4xWauSmA7Zg   5   0     302784            0     74.5mb         74.5mb
green  open   netflow-v9-2016.07.23 vi3D-2zcS7G0xe2e-yPTZQ   1   0       3718            0      503kb          503kb
green  open   snort-2017.12.10      6foSFO1tTGGSuHHDLj1d3Q   1   0      12580            0     70.3mb         70.3mb
green  open   winlogbeat-2017.12.29 e6wJY6pETWyU0kEMBVzMSw   5   0        206            0    253.9kb        253.9kb
green  open   netflow-v9-2016.09.06 20GsjoYJSoGDBpsp21y6JA   1   0         54            0     84.9kb         84.9kb
green  open   winlogbeat-2017.12.07 ZozrX3x7QViFr5qGFro8bg   5   0        271            0    486.2kb        486.2kb
green  open   snort-2017.11.11      4aoEuhvQT2iJpwUpfC1Hiw   1   0       3038            0     14.1mb         14.1mb
yellow open   bro-2018.07.04        78Q3mGrmQ4yK7BGa_ZbPWQ   5   1      78058            0       45mb           45mb
green  open   netflow-v9-2017.12.25 LXt5D1dsTteIvUAhnZNwzA   5   0      94911            0       16mb           16mb
green  open   netflow-v9-2017.12.09 1GQkWvJ1SSiNEZCART0BCg   5   0      59493            0     10.7mb         10.7mb
green  open   netflow-v9-2017.10.17 O2OYlbKaRxSWrwEFhwSj8g   5   0      13409            0      3.2mb          3.2mb
green  open   netflow-v9-2017.12.14 GlTJPab7TYGFQvUBMCvU4w   5   0      56463            0     10.4mb         10.4mb
green  open   netflow-v9-2017.12.18 -yNX5pJkQHutP85xA1s52w   5   0      65689            0       12mb           12mb
green  open   netflow-v9-2017.11.18 ktq7z4HrTgCUcRAHc5cQZg   5   0      50168            0      9.5mb          9.5mb
green  open   snort-2018.06.05      KNgk__myRruKVQrOF23bLQ   1   0        486            0      1.4mb          1.4mb
yellow open   bro-2018.07.08        iIa-oUQYRtuHJjV_luXbmQ   5   1      75755            0       42mb           42mb
green  open   packetbeat-2017.10.13 bKEiGuX2STyouxUe1dHHAQ   5   0     266654            0     69.3mb         69.3mb
green  open   netflow-v9-2017.12.26 J2wv_yKKRz6t5FhGp688aw   5   0      11594            0      2.8mb          2.8mb
yellow open   netflow-v9-2018.06.07 OMchE-dLRfSd4MmRFIT5yw   5   1      17918            0      4.7mb          4.7mb
green  open   netflow-v9-2017.07.03 yVWaXaHXSoS0I_mgAFXf9A   5   0          6            0       38kb           38kb
green  open   bro-2017.12.07        wJOyG5S5SrG6MKeu94GPEA   5   0     160594            0     54.6mb         54.6mb
green  open   snort-2017.10.24      3Lgxu0lzQfqcW2Ytl6WEyg   1   0       2024            0      6.1mb          6.1mb
green  open   winlogbeat-2018.02.03 Qnw1S41WSfedeFGsbxA_AA   5   0        197            0    300.4kb        300.4kb
green  open   bro-2017.12.17        1uWwEzRVThyH7sOqYeKH0A   5   0     185332            0     61.5mb         61.5mb
green  open   snort-2017.10.14      xqUlbcFMSDac25-B_u622w   1   0        342            0    787.4kb        787.4kb
green  open   packetbeat-2017.11.22 yy4cU9v_T3qpKCKSDUeK-w   5   0     202317            0     54.6mb         54.6mb
yellow open   bro-2018.06.09        18suLjHxQNuNv6BhSUcBQQ   5   1      83507            0     44.2mb         44.2mb
green  open   netflow-v9-2017.09.14 OBmrgOwyQLmX8GER1g8SbA   5   0      13714            0      3.3mb          3.3mb
green  open   snort-2018.06.14      VaAKtIObS0-2UkqkMYu3Wg   1   0        668            0      3.2mb          3.2mb
green  open   winlogbeat-2017.12.09 1LdhIUSRR-CDdhXh3U-INw   5   0        228            0      377kb          377kb
green  open   winlogbeat-2018.02.22 _6Bku5J7RcWmv-2BM3VRqA   5   0         28            0    179.5kb        179.5kb
